0, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void <init>()_0, specialinvoke this.<java.lang.Object: void <init>()>()
1, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void <init>()_0, $stack1 = staticinvoke <org.junit.rules.ExpectedException: org.junit.rules.ExpectedException none()>()
2, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void <init>()_0, this.<org.mockserver.serialization.HttpResponseSerializationErrorsTest: org.junit.rules.ExpectedException thrown> = $stack1
3, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void <init>()_0 END, return
4, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void setupTestFixture()_0, $stack1 = new org.mockserver.serialization.HttpResponseSerializer
5, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void setupTestFixture()_0, $stack2 = new org.mockserver.logging.MockServerLogger
594, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void setupTestFixture()_0, specialinvoke $stack2.<org.mockserver.logging.MockServerLogger: void <init>()>()
634, org.mockserver.serialization.HttpResponseSerializationErrorsTest, void setupTestFixture()_0, specialinvoke $stack1.<org.mockserver.serialization.HttpResponseSerializer: void <init>(org.mockserver.logging.MockServerLogger)>($stack2)
2176, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_1, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2176} = Func_2_2176({stack1_{2171}})
2179, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_COMMENTS>_{2179} = Func_2_2179({stack1_{2171}})
2185, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_2, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2185} = Func_2_2185({stack2_{2180}})
2188, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_YAML_COMMENTS>_{2188} = Func_2_2188({stack2_{2180}})
2194, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_3, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2194} = Func_2_2194({stack3_{2189}})
2197, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_UNQUOTED_FIELD_NAMES>_{2197} = Func_2_2197({stack3_{2189}})
2203, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_4, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2203} = Func_2_2203({stack4_{2198}})
2206, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_SINGLE_QUOTES>_{2206} = Func_2_2206({stack4_{2198}})
2230, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_7, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2230} = Func_2_2230({stack7_{2225}})
2233, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_NUMERIC_LEADING_ZEROS>_{2233} = Func_2_2233({stack7_{2225}})
2239, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_8, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2239} = Func_2_2239({stack8_{2234}})
2242, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_NON_NUMERIC_NUMBERS>_{2242} = Func_2_2242({stack8_{2234}})
2248, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_9, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2248} = Func_2_2248({stack9_{2243}})
2251, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_MISSING_VALUES>_{2251} = Func_2_2251({stack9_{2243}})
2257, com.fasterxml.jackson.core.JsonParser$Feature, void <init>(java.lang.String;int;boolean)_10, this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2257} = Func_2_2257({stack10_{2252}})
2260, com.fasterxml.jackson.core.JsonParser$Feature, void <clinit>()_0, <com.fasterxml.jackson.core.JsonParserFeature: com.fasterxml.jackson.core.JsonParserFeature ALLOW_TRAILING_COMMA>_{2260} = Func_2_2260({stack10_{2252}})
2675, com.fasterxml.jackson.core.JsonFactory, void <clinit>()_0, $stack3 = <com.fasterxml.jackson.core.util.DefaultPrettyPrinter: com.fasterxml.jackson.core.io.SerializedString DEFAULT_ROOT_VALUE_SEPARATOR>
2677, com.fasterxml.jackson.core.io.SerializedString, void <clinit>()_0, $stack0 = staticinvoke <com.fasterxml.jackson.core.io.JsonStringEncoder: com.fasterxml.jackson.core.io.JsonStringEncoder getInstance()>()
5943, com.fasterxml.jackson.core.io.CharTypes, void <clinit>()_0, $stack15 = newarray (int)[256]
5944, com.fasterxml.jackson.core.io.CharTypes, void <clinit>()_0, <com.fasterxml.jackson.core.io.CharTypes: int[] sHexValues> = $stack15
6091, com.fasterxml.jackson.core.io.JsonStringEncoder, void <clinit>()_0, $stack2 = new com.fasterxml.jackson.core.io.JsonStringEncoder
6092, com.fasterxml.jackson.core.io.JsonStringEncoder, void <clinit>()_0, specialinvoke $stack2.<com.fasterxml.jackson.core.io.JsonStringEncoder: void <init>()>()
